,date,lat,lon,mask,lst,lstn,ndvi,vcr,prec,ma_cat
186,2019-06-02,35.10416666352185,-119.44583332263277,5.0,317.7800000000001,289.96,0.1777,0.72,0.4002128839492798,0
187,2019-06-10,35.10416666352185,-119.44583332263277,5.0,309.3387698986973,296.16,0.16590000000000002,0.72,0.0,0
188,2019-06-18,35.10416666352185,-119.44583332263277,5.0,322.76,295.1,0.16590000000000002,0.72,0.0,0
189,2019-06-02,37.41249999664839,-120.50416665587127,5.0,305.68,292.1,0.5376000000000001,0.71,0.0,0
190,2019-06-10,37.41249999664839,-120.50416665587127,5.0,312.4000000000001,290.9216931216929,0.6209,0.71,0.0,0
191,2019-06-18,37.41249999664839,-120.50416665587127,5.0,310.2800000000001,295.44,0.6209,0.71,0.0,0
192,2019-06-02,38.05416666325758,-120.76249998918146,5.0,305.4000000000001,289.36,0.3523,0.88,0.2490039169788361,0
193,2019-06-10,38.05416666325758,-120.76249998918146,5.0,298.72,288.24,0.34390000000000004,0.88,0.14407950639724731,0
194,2019-06-18,38.05416666325758,-120.76249998918146,5.0,313.26,292.44,0.34390000000000004,0.88,0.2871371805667877,0
195,2019-06-02,38.179166663246384,-121.32916665579737,5.0,305.92,290.9216931216929,0.5922000000000001,0.9,0.665199875831604,0
196,2019-06-10,38.179166663246384,-121.32916665579737,5.0,308.18,290.9216931216929,0.635,0.9,0.05770146101713181,0
197,2019-06-18,38.179166663246384,-121.32916665579737,5.0,313.18,292.9000000000001,0.635,0.9,0.14168739318847656,0
198,2019-06-02,38.87916666318367,-121.35416665579511,5.0,307.22,290.9216931216929,0.26880000000000004,0.76,1.56971275806427,0
199,2019-06-10,38.87916666318367,-121.35416665579511,5.0,319.58,290.9216931216929,0.0412,0.76,0.0,0
200,2019-06-18,38.87916666318367,-121.35416665579511,5.0,314.82,296.1,0.0412,0.76,0.3234426975250244,0
201,2019-06-02,38.71249999653193,-121.86249998908293,5.0,304.86,290.9216931216929,0.416,0.78,0.4120643138885498,0
202,2019-06-10,38.71249999653193,-121.86249998908293,5.0,311.4000000000001,290.9216931216929,0.5670000000000001,0.78,0.0,0
203,2019-06-18,38.71249999653193,-121.86249998908293,8.0,310.8400000000001,292.1,0.5670000000000001,0.78,0.0,1
204,2019-06-02,40.154166663069454,-122.15416665572346,5.0,304.08,293.42,0.6914,0.74,0.1385890394449234,0
205,2019-06-10,40.154166663069454,-122.15416665572346,5.0,313.2,290.9216931216929,0.6272,0.74,0.0,0
206,2019-06-18,40.154166663069454,-122.15416665572346,5.0,309.3387698986973,296.62,0.6272,0.74,0.0,0
210,2019-06-02,33.195833330359484,-115.4958333229866,5.0,311.22,292.48,0.7018,0.81,0.0,0
211,2019-06-10,33.195833330359484,-115.4958333229866,5.0,309.3387698986973,293.5,0.4284,0.81,0.0,0
212,2019-06-18,33.195833330359484,-115.4958333229866,5.0,315.14,290.9216931216929,0.4284,0.81,0.0,0
213,2019-06-02,33.29583333035052,-115.53749998964956,5.0,318.44,295.54,0.2064,0.5,0.0,0
214,2019-06-10,33.29583333035052,-115.53749998964956,5.0,309.3387698986973,298.62,0.1409,0.5,0.0,0
215,2019-06-18,33.29583333035052,-115.53749998964956,5.0,323.56,294.38,0.1409,0.5,0.0,0
216,2019-06-02,35.920833330115364,-119.08749998933152,5.0,309.8,290.44,0.4915000000000001,0.79,0.3107747435569763,0
217,2019-06-10,35.920833330115364,-119.08749998933152,5.0,311.74,290.9216931216929,0.4827,0.79,0.0,0
218,2019-06-18,35.920833330115364,-119.08749998933152,5.0,313.9000000000001,290.9216931216929,0.4827,0.79,0.34329620003700256,0
219,2019-06-02,39.00416666317247,-122.17083332238865,5.0,306.38,290.9216931216929,0.3737,0.85,0.06681235879659653,0
220,2019-06-10,39.00416666317247,-122.17083332238865,5.0,310.4000000000001,290.9216931216929,0.3527,0.85,0.0,0
221,2019-06-18,39.00416666317247,-122.17083332238865,5.0,309.3387698986973,297.06,0.3527,0.85,0.0,0
222,2019-06-02,39.10416666316351,-122.17916665572123,5.0,301.98,290.9216931216929,0.6845,0.83,0.06681235879659653,0
223,2019-06-10,39.10416666316351,-122.17916665572123,5.0,303.88,290.9216931216929,0.8140000000000001,0.83,0.0,0
224,2019-06-18,39.10416666316351,-122.17916665572123,5.0,309.3387698986973,295.48,0.8140000000000001,0.83,0.0,0
225,2019-06-02,39.954166663087356,-121.05416665582199,5.0,298.48,290.9216931216929,0.7558,0.28,0.0,0
226,2019-06-10,39.954166663087356,-121.05416665582199,5.0,303.32,290.9216931216929,0.7147,0.28,0.0,0
227,2019-06-18,39.954166663087356,-121.05416665582199,5.0,309.3387698986973,288.92,0.7147,0.28,0.0,0
228,2019-06-02,39.954166663087356,-121.06249998915459,5.0,298.54,290.9216931216929,0.7019000000000001,0.27,0.0,0
229,2019-06-10,39.954166663087356,-121.06249998915459,5.0,303.7800000000001,290.9216931216929,0.6928000000000001,0.27,0.0,0
230,2019-06-18,39.954166663087356,-121.06249998915459,5.0,309.3387698986973,289.76,0.6928000000000001,0.27,0.0,0
234,2019-06-02,38.162499996581204,-121.4291666557884,5.0,305.5,290.9216931216929,0.4807,0.8,0.5558187961578369,0
235,2019-06-10,38.162499996581204,-121.4291666557884,5.0,312.8400000000001,290.9216931216929,0.6033000000000001,0.8,0.0,0
236,2019-06-18,38.162499996581204,-121.4291666557884,5.0,310.08,289.92,0.6033000000000001,0.8,0.15024180710315704,0
237,2019-06-02,38.30416666323518,-122.74583332233713,5.0,309.3387698986973,290.9216931216929,0.6168,0.88,0.0,0
238,2019-06-10,38.30416666323518,-122.74583332233713,5.0,310.48,290.9216931216929,0.4883,0.88,0.12093956768512724,0
239,2019-06-18,38.30416666323518,-122.74583332233713,5.0,309.3387698986973,290.9216931216929,0.4883,0.88,0.0,0
240,2019-06-02,37.712499996621524,-118.9041666560146,5.0,309.3387698986973,290.9216931216929,0.4424,0.63,0.2381170392036438,0
241,2019-06-10,37.712499996621524,-118.9041666560146,5.0,309.3387698986973,290.9216931216929,0.33430000000000004,0.63,0.0,0
242,2019-06-18,37.712499996621524,-118.9041666560146,5.0,303.94,280.8,0.33430000000000004,0.63,0.10498836636543274,0
243,2019-06-02,38.01249999659464,-122.11249998906051,5.0,300.02,288.6,0.3296,0.31,0.454933226108551,0
244,2019-06-10,38.01249999659464,-122.11249998906051,5.0,317.9000000000001,290.9216931216929,0.3123,0.31,0.0,0
245,2019-06-18,38.01249999659464,-122.11249998906051,5.0,309.3387698986973,290.8,0.3123,0.31,0.0,0
246,2019-06-02,37.31249999665735,-122.08749998906276,5.0,297.24,287.02,0.6255000000000001,0.58,0.14857985079288485,0
247,2019-06-10,37.31249999665735,-122.08749998906276,5.0,310.98,290.9216931216929,0.7328,0.58,0.0,0
248,2019-06-18,37.31249999665735,-122.08749998906276,5.0,307.26,290.14,0.7328,0.58,0.0,0
249,2019-06-02,37.17916666333596,-121.679166655766,5.0,301.18,290.9216931216929,0.2801,0.68,0.1621328443288803,0
250,2019-06-10,37.17916666333596,-121.679166655766,5.0,309.3387698986973,290.9216931216929,0.3073,0.68,0.0,0
251,2019-06-18,37.17916666333596,-121.679166655766,5.0,309.64,288.66,0.3073,0.68,0.0,0
252,2019-06-02,34.479166663577836,-118.89583332268202,5.0,309.3387698986973,290.9216931216929,0.5315,0.67,0.5079874396324158,0
253,2019-06-10,34.479166663577836,-118.89583332268202,5.0,309.3387698986973,290.7,0.5175000000000001,0.67,0.0,0
254,2019-06-18,34.479166663577836,-118.89583332268202,5.0,309.3387698986973,290.9216931216929,0.5175000000000001,0.67,0.0,0
255,2019-06-02,34.14583333027437,-117.42916665614678,5.0,309.3387698986973,290.9216931216929,0.1364,0.26,0.0635128915309906,0
256,2019-06-10,34.14583333027437,-117.42916665614678,5.0,309.3387698986973,293.52,0.2388,0.26,0.0,0
257,2019-06-18,34.14583333027437,-117.42916665614678,5.0,312.12,289.96,0.2388,0.26,0.0,0
258,2019-06-02,34.337499996923874,-118.52083332271563,5.0,309.3387698986973,290.9216931216929,0.4245,0.57,0.0,0
259,2019-06-10,34.337499996923874,-118.52083332271563,5.0,309.3387698986973,290.9216931216929,0.4218,0.57,0.0,0
260,2019-06-18,34.337499996923874,-118.52083332271563,5.0,309.3387698986973,290.9216931216929,0.4218,0.57,0.0,0
261,2019-06-02,34.320833330258694,-118.51249998938304,5.0,309.3387698986973,290.9216931216929,0.34550000000000003,0.64,0.0,0
262,2019-06-10,34.320833330258694,-118.51249998938304,5.0,309.3387698986973,290.9216931216929,0.34400000000000003,0.64,0.0,0
263,2019-06-18,34.320833330258694,-118.51249998938304,5.0,309.3387698986973,290.9216931216929,0.34400000000000003,0.64,0.0,0
264,2019-06-02,33.795833330305726,-117.4708333228097,5.0,309.3387698986973,290.9216931216929,0.1661,0.04,0.0,0
265,2019-06-10,33.795833330305726,-117.4708333228097,5.0,309.3387698986973,293.42,0.1787,0.04,0.0,0
266,2019-06-18,33.795833330305726,-117.4708333228097,5.0,309.52,289.36,0.1787,0.04,0.0,0
273,2019-06-02,33.33749999701345,-117.37083332281864,5.0,309.3387698986973,290.9216931216929,0.4889,0.78,0.0,0
274,2019-06-10,33.33749999701345,-117.37083332281864,5.0,309.3387698986973,288.12,0.4464,0.78,0.0,0
275,2019-06-18,33.33749999701345,-117.37083332281864,5.0,309.3387698986973,290.9216931216929,0.4464,0.78,0.0,0
276,2019-06-02,33.34583333034604,-117.37083332281864,5.0,309.3387698986973,290.9216931216929,0.4473,0.89,0.0,0
277,2019-06-10,33.34583333034604,-117.37083332281864,5.0,309.3387698986973,288.14,0.4016,0.89,0.0,0
278,2019-06-18,33.34583333034604,-117.37083332281864,5.0,309.3387698986973,290.9216931216929,0.4016,0.89,0.0,0
279,2019-06-02,36.82083333003473,-118.95416665601013,5.0,295.86,279.44,0.6084,0.33,0.285332053899765,0
280,2019-06-10,36.82083333003473,-118.95416665601013,5.0,293.54,290.9216931216929,0.6318,0.33,0.047036971896886826,0
281,2019-06-18,36.82083333003473,-118.95416665601013,5.0,303.4000000000001,290.9216931216929,0.6318,0.33,0.6275004148483276,0
282,2019-06-02,36.887499996695425,-119.89583332259242,5.0,304.12,290.9216931216929,0.5613,0.75,0.17633365094661713,0
283,2019-06-10,36.887499996695425,-119.89583332259242,5.0,306.66,290.9216931216929,0.5755,0.75,0.04078854620456696,0
284,2019-06-18,36.887499996695425,-119.89583332259242,5.0,309.04,295.3400000000001,0.5755,0.75,0.27044731378555303,0
285,2019-06-02,37.7208333299541,-119.66249998928,5.0,309.3387698986973,290.9216931216929,0.5938,0.58,0.30901604890823364,0
286,2019-06-10,37.7208333299541,-119.66249998928,5.0,309.3387698986973,290.9216931216929,0.635,0.58,0.23566795885562894,0
287,2019-06-18,37.7208333299541,-119.66249998928,5.0,304.26,290.9216931216929,0.635,0.58,0.3793007135391235,0
288,2019-06-02,39.204166663154545,-121.13749998914787,5.0,299.64,290.9216931216929,0.6997,0.64,1.3396663665771484,0
289,2019-06-10,39.204166663154545,-121.13749998914787,5.0,305.3400000000001,290.9216931216929,0.7028,0.64,0.17256484925746918,0
290,2019-06-18,39.204166663154545,-121.13749998914787,5.0,308.82,293.82,0.7028,0.64,0.0,0
291,2019-06-02,39.645833329781645,-121.85416665575032,5.0,302.58,290.9216931216929,0.7971,0.76,0.11480620503425598,0
292,2019-06-10,39.645833329781645,-121.85416665575032,5.0,309.42,290.9216931216929,0.7639,0.76,0.0,0
293,2019-06-18,39.645833329781645,-121.85416665575032,5.0,309.3387698986973,296.64,0.7639,0.76,0.4230087995529175,0
294,2019-06-02,39.74583332977269,-122.30416665571,9.0,310.7,290.9216931216929,0.3994,0.81,0.7180651426315308,1
295,2019-06-10,39.74583332977269,-122.30416665571,5.0,323.8,290.9216931216929,0.4676,0.81,0.0,0
296,2019-06-18,39.74583332977269,-122.30416665571,5.0,309.3387698986973,297.42,0.4676,0.81,0.0,0
297,2019-06-02,39.895833329759256,-122.15416665572346,5.0,307.96,290.9216931216929,0.5257000000000001,0.78,0.7517513036727905,0
298,2019-06-10,39.895833329759256,-122.15416665572346,5.0,315.7800000000001,289.88,0.5344,0.78,0.0,0
299,2019-06-18,39.895833329759256,-122.15416665572346,5.0,309.3387698986973,296.08,0.5344,0.78,0.0,0
300,2019-06-02,39.96249999641996,-122.22083332238415,9.0,309.7800000000001,290.9216931216929,0.3563,0.85,0.7517513036727905,1
301,2019-06-10,39.96249999641996,-122.22083332238415,5.0,315.7800000000001,290.9216931216929,0.31070000000000003,0.85,0.0,0
302,2019-06-18,39.96249999641996,-122.22083332238415,5.0,309.3387698986973,296.46,0.31070000000000003,0.85,0.0,0
303,2019-06-02,40.14583332973686,-123.2624999889575,5.0,299.92,290.9216931216929,0.6963,0.46,0.20833206176757807,0
304,2019-06-10,40.14583332973686,-123.2624999889575,5.0,304.3400000000001,290.08,0.7295,0.46,0.0,0
305,2019-06-18,40.14583332973686,-123.2624999889575,5.0,303.26,291.58,0.7295,0.46,0.0,0
306,2019-06-02,41.645833329602475,-121.83749998908516,9.0,302.82,290.9216931216929,0.4354,0.71,0.0,1
307,2019-06-10,41.645833329602475,-121.83749998908516,5.0,313.96,281.86,0.3978,0.71,0.0,0
308,2019-06-18,41.645833329602475,-121.83749998908516,5.0,306.54,286.06,0.3978,0.71,0.0,0
