,date,lat,lon,mask,lst,lstn,ndvi,vcr,prec
2668,2019-06-10,35.97083333011088,-121.31249998913219,9.0,313.94,283.94,0.5021,80.0,0.09439399838447571
2669,2019-06-18,35.97083333011088,-121.31249998913219,5.0,,287.58,0.5021,80.0,0.0
2688,2019-06-02,37.38749999665063,-120.45416665587575,5.0,309.7,290.40000000000003,0.3557,91.0,0.0
2689,2019-06-10,37.38749999665063,-120.45416665587575,5.0,316.02,,0.45780000000000004,91.0,0.0
2690,2019-06-18,37.38749999665063,-120.45416665587575,5.0,315.18,295.68,0.45780000000000004,91.0,0.0
2697,2019-06-02,38.36249999656329,-122.5041666556921,5.0,295.68,,0.5585,72.0,-99.0
2698,2019-06-10,38.36249999656329,-122.5041666556921,5.0,303.88,,0.5466,72.0,-99.0
2699,2019-06-18,38.36249999656329,-122.5041666556921,5.0,,288.74,0.5466,72.0,-99.0
2700,2019-06-02,38.36249999656329,-122.51249998902469,5.0,295.68,,0.6465000000000001,78.0,-99.0
2701,2019-06-10,38.36249999656329,-122.51249998902469,5.0,302.62,,0.49660000000000004,78.0,-99.0
2702,2019-06-18,38.36249999656329,-122.51249998902469,5.0,,288.8,0.49660000000000004,78.0,-99.0
2706,2019-06-02,38.937499996511775,-121.82916665575257,5.0,303.14,,0.6687000000000001,54.0,0.49610471725463867
2707,2019-06-10,38.937499996511775,-121.82916665575257,5.0,306.92,,0.5581,54.0,0.0
2708,2019-06-18,38.937499996511775,-121.82916665575257,5.0,309.24,293.34000000000003,0.5581,54.0,0.0
2709,2019-06-02,38.937499996511775,-121.83749998908516,5.0,303.14,,0.5466,80.0,0.49610471725463867
2710,2019-06-10,38.937499996511775,-121.83749998908516,5.0,307.88,,0.6963,80.0,0.0
2711,2019-06-18,38.937499996511775,-121.83749998908516,5.0,,293.44,0.6963,80.0,0.0
2715,2019-06-02,38.94583332984436,-121.82916665575257,5.0,303.88,,0.627,76.0,0.49610471725463867
2716,2019-06-10,38.94583332984436,-121.82916665575257,5.0,308.06,,0.6689,76.0,0.0
2717,2019-06-18,38.94583332984436,-121.82916665575257,5.0,309.04,293.46,0.6689,76.0,0.0
2733,2019-06-02,38.94583332984436,-121.83749998908516,5.0,303.88,,0.627,73.0,0.49610471725463867
2734,2019-06-10,38.94583332984436,-121.83749998908516,5.0,308.06,,0.6689,73.0,0.0
2735,2019-06-18,38.94583332984436,-121.83749998908516,5.0,309.04,293.46,0.6689,73.0,0.0
2736,2019-06-02,38.987499996507296,-122.04583332239983,5.0,303.18,,0.5972000000000001,78.0,0.13935524225234985
2737,2019-06-10,38.987499996507296,-122.04583332239983,5.0,305.7,288.48,0.5755,78.0,0.0
2738,2019-06-18,38.987499996507296,-122.04583332239983,5.0,,294.06,0.5755,78.0,0.0
2748,2019-06-02,42.004166662903714,-121.6874999890986,5.0,302.52,,0.4319,,0.2409372478723526
2749,2019-06-10,42.004166662903714,-121.6874999890986,5.0,309.5,279.88,0.4388,,0.0
2750,2019-06-18,42.004166662903714,-121.6874999890986,5.0,307.3,287.6,0.4388,,0.0
2751,2019-06-02,41.86249999624974,-122.72916665567195,5.0,305.52,290.94,0.6462,52.0,0.9658308029174805
2752,2019-06-10,41.86249999624974,-122.72916665567195,5.0,312.92,289.38,0.618,52.0,0.0
2753,2019-06-18,41.86249999624974,-122.72916665567195,8.0,305.90000000000003,292.52,0.618,52.0,0.0
2754,2019-06-02,41.85416666291715,-122.72916665567195,5.0,305.04,290.78000000000003,0.7104,54.0,0.9658308029174805
2755,2019-06-10,41.85416666291715,-122.72916665567195,5.0,307.76,289.5,0.6961,54.0,0.0
2756,2019-06-18,41.85416666291715,-122.72916665567195,5.0,305.24,292.06,0.6961,54.0,0.0
2757,2019-06-02,41.85416666291715,-122.72083332233936,5.0,305.2,290.98,0.671,55.0,0.9658308029174805
2758,2019-06-10,41.85416666291715,-122.72083332233936,5.0,307.68,289.74,0.6535000000000001,55.0,0.0
2759,2019-06-18,41.85416666291715,-122.72083332233936,5.0,305.5,292.44,0.6535000000000001,55.0,0.0
2760,2019-06-02,40.079166663076165,-123.070833322308,5.0,296.42,,0.513,55.0,0.17867770791053772
2761,2019-06-10,40.079166663076165,-123.070833322308,5.0,304.84000000000003,285.26,0.5861000000000001,55.0,0.0
2762,2019-06-18,40.079166663076165,-123.070833322308,9.0,300.1,290.48,0.5861000000000001,55.0,0.0
2763,2019-06-02,40.079166663076165,-123.06249998897542,5.0,297.94,,0.5467000000000001,57.0,0.17867770791053772
2764,2019-06-10,40.079166663076165,-123.06249998897542,5.0,306.56,285.16,0.5369,57.0,0.0
2765,2019-06-18,40.079166663076165,-123.06249998897542,9.0,300.92,289.3,0.5369,57.0,0.0
2766,2019-06-02,40.07083332974358,-123.04583332231024,5.0,299.40000000000003,,0.5325,37.0,0.17867770791053772
2767,2019-06-10,40.07083332974358,-123.04583332231024,5.0,308.46,282.46,0.5792,37.0,0.0
2768,2019-06-18,40.07083332974358,-123.04583332231024,9.0,300.88,288.92,0.5792,37.0,0.0
2805,2019-06-02,41.86249999624974,-122.72083332233936,5.0,305.6,290.76,0.5860000000000001,64.0,0.9658308029174805
2806,2019-06-10,41.86249999624974,-122.72083332233936,5.0,310.48,289.38,0.5703,64.0,0.0
2807,2019-06-18,41.86249999624974,-122.72083332233936,8.0,306.18,,0.5703,64.0,0.0
2820,2019-06-02,40.07083332974358,-123.06249998897542,5.0,299.40000000000003,,0.5226000000000001,45.0,0.17867770791053772
2821,2019-06-10,40.07083332974358,-123.06249998897542,5.0,308.02,283.78000000000003,0.5615,45.0,0.0
2822,2019-06-18,40.07083332974358,-123.06249998897542,9.0,299.82,288.0,0.5615,45.0,0.0
2826,2019-06-02,40.07083332974358,-123.03749998897766,5.0,299.36,,0.5636,34.0,0.17867770791053772
2827,2019-06-10,40.07083332974358,-123.03749998897766,5.0,307.5,,0.5516,34.0,0.0
2828,2019-06-18,40.07083332974358,-123.03749998897766,8.0,301.74,288.98,0.5516,34.0,0.0
2844,2019-06-02,33.8124999969709,-117.11249998950845,5.0,,,0.2464,68.0,0.0
2845,2019-06-10,33.8124999969709,-117.11249998950845,5.0,,293.40000000000003,0.225,68.0,0.0
2846,2019-06-18,33.8124999969709,-117.11249998950845,5.0,316.92,288.64,0.225,68.0,0.0
2853,2019-06-02,34.92083333020494,-118.37083332272906,5.0,321.08,284.28000000000003,0.2066,51.0,0.36516714096069336
2854,2019-06-10,34.92083333020494,-118.37083332272906,5.0,,,0.1807,51.0,0.0
2855,2019-06-18,34.92083333020494,-118.37083332272906,5.0,326.1,294.98,0.1807,51.0,0.0
2856,2019-06-02,34.92916666353753,-120.47083332254093,9.0,,,0.3148,57.0,0.79236900806427
2857,2019-06-10,34.92916666353753,-120.47083332254093,5.0,,286.98,0.2667,57.0,0.0
2858,2019-06-18,34.92916666353753,-120.47083332254093,5.0,303.26,286.66,0.2667,57.0,0.0
2859,2019-06-02,34.92083333020494,-120.47916665587351,9.0,,,0.3009,53.0,0.79236900806427
2860,2019-06-10,34.92083333020494,-120.47916665587351,5.0,,286.8,0.4071,53.0,0.0
2861,2019-06-18,34.92083333020494,-120.47916665587351,5.0,305.26,286.16,0.4071,53.0,0.0
2865,2019-06-02,34.92916666353753,-120.49583332253869,5.0,,,0.4308,71.0,0.79236900806427
2866,2019-06-10,34.92916666353753,-120.49583332253869,5.0,,286.48,0.4989,71.0,0.0
